Phylostratum	GeneID	unfertilized	Zygote	Quadrant	Globular	Heart	Torpedo	Bent	Mature
1	Bol032340	143.09289593565546	103.3613639766518	50.04090995082577	59.02237394816154	130.6325646556303	50.46156802892285	17.558693898613306	9.309897257479806
1	Bol032341	0.0	0.0	0.9988285032822201	28.56116759120775	7.156506480027107	1.0061733787270462	0.0	0.0
1	Bol032343	0.09233543770405814	0.0	1.5213088195189035	3.406074803049986	6.923569272431308	13.519908772857194	4.51161624398175	4.070628812322981
1	Bol032346	0.9439332644175646	8.78628996382068	0.0	13.235705127760818	17.23199929095577	16.77349163217146	0.5470728505674541	0.2934172088511511
1	Bol032348	78.69725050784565	5.783923615364833	5.056072929906372	2.6240809783499444	9.620005513081265	11.74011161779308	10.767659095788183	6.612354985908575
11	Bol032350	9.143651508071597	2.690791666045887	9.475473871723356	1.611465582474227	1.5499190789125088	6.686181163061618	37.023325001365016	42.190159154647425
1	Bol032355	95.97999305572587	101.47561934221278	100.50997796895287	65.0974399604361	52.41722214968575	114.32916052104751	74.9394800473449	35.49185270216151
1	Bol032358	0.6939670467565445	37.420349001757906	32.41522557627598	7.6270872524147775	9.686269635730621	21.05891339953035	8.22402160604798	6.182508523519073
1	Bol032359	212.55932678321275	70.59069086168195	79.78978182444436	54.838949885865944	53.001125146784574	87.14982416988349	45.47536331536765	31.036580947977384
2	Bol032361	357.8333592351112	128.16538895599942	113.73911704325683	85.46415009908787	142.69626874500085	106.4881986623207	48.850236428981795	28.986133346466193
4	Bol032363	28.736819968865657	98.16560933865746	52.74822469603615	39.04699062401931	75.56531793271282	54.375852318628596	47.448107148369495	32.18511127090935
2	Bol032368	1.440179463242342	0.3232989920460626	0.0	2.841560962791578	8.06451618643022	16.879539222616412	50.386168395038574	33.65564133063387
1	Bol032371	10.14679457808189	31.22893866282282	24.875282954325463	14.964237435365694	49.25812622967793	32.83386073456638	21.80737777762608	5.131255879517411
5	Bol032372	11.01316692583977	45.52665789005884	40.582321092591414	22.453227919893454	21.176189038101644	25.690882047374885	17.101662575435345	8.816690764159535
1	Bol032374	3.7805816482454118	11.006880487031014	7.031653302794727	6.965883731781057	7.589421444708219	12.815220900939355	9.379942635963399	4.376236436182237
2	Bol032375	1.2207571890314635	0.3442655929366163	0.0	0.20589216428995058	0.0	1.4182451804804415	37.87550892687464	35.187739514020215
2	Bol032377	55.228369683889426	16.336256125097147	32.07466562257613	26.510402999300293	34.13603850465985	29.715745257271408	4.451843017068886	1.829125283738924
2	Bol032378	5.243140645114529	20.38361625611089	22.110619938876727	11.977288352351295	19.28506965350014	12.442197310534583	5.283174619758276	3.2038037317694728
1	Bol032379	19.179686982982073	29.259279263490413	30.478009178113723	22.58179879267046	69.64184664400135	122.36331935510216	55.65886616794688	11.62798749295406
6	Bol032380	34.85778277099417	11.470543531715746	14.806280301275399	6.397686790135555	9.694204835941317	7.1702317334558305	5.436513818468413	3.5604582402016733
1	Bol032382	226.79022232155427	314.31281639068465	331.7746497450108	321.1483124163384	820.5887267751413	576.2611621513415	173.50148444906927	81.09334033797359
1	Bol032384	46.16168542292661	0.5449998378201594	0.0	0.0	0.8298937267481903	1.2491243069830962	0.0	0.0
1	Bol032385	0.21395393735568413	0.0	0.0	0.3201386096005916	7.496903661810922	13.173217244859513	1.8241201198473744	0.649180650414043
2	Bol032386	18.17284555293969	47.37791309167009	50.244816991869435	34.35591019961064	56.13703941064322	60.92291299896594	33.36369836382892	27.57322684022477
1	Bol032387	42.32882714857943	50.805846684265184	72.30265289340927	76.90273755040035	173.34544847947802	151.63730596151598	30.349861530395494	16.811423848275318
1	Bol032388	18.884798502128376	2.1939718808202624	4.798851474659327	2.8565136465611363	1.790103985323199	1.856901496852485	1.2703214549868864	1.137556912970951
1	Bol032389	0.7654583794015192	0.0	3.8635354139302254	1.3823971916081137	7.1268179721898335	28.607368522947336	41.58928252940837	13.85977598579876
11	Bol032393	51.82343461338641	3.0789631524375216	1.185882177528611	0.9360652746085606	0.2914678352357254	0.8243027859227458	0.13198795825756227	0.0
16	Bol032394	18.129085083226183	4.5650121033399245	0.7835403152627183	1.2982435553912832	0.5804136514202608	0.08847939894687347	0.0	0.04196446496739831
18	Bol032397	180.2818532617668	77.12909838693209	64.08413962854164	51.270974115562545	32.22399023725423	69.5400683468676	40.877920811789664	17.918291241821635
1	Bol032398	11.525806203611443	5.011294225227053	2.7581379238326718	2.834342995440742	3.893622105675896	4.476408601756324	2.342583067528236	0.978510531028154
1	Bol032400	67.42115839198235	11.853391320549788	11.751123603797552	5.944500653614397	16.11499900425439	16.698485871144126	7.26645896507797	1.1395934805587473
1	Bol032401	34.27649999576701	22.004239598219858	25.86502522235175	12.169357019842913	11.664422958245984	10.384610629722523	5.481525941348267	2.5302799021823654
1	Bol032405	28.06518428255136	18.60814277674104	18.059493943273296	9.335027778355297	6.89789198132096	9.681229729992824	8.17858536475716	3.880564532101482
1	Bol032409	17.931259169293995	6.542427067896592	3.8220592294662312	4.3127261806884984	8.614344496886575	7.104322516004746	3.4195877779209005	2.095094319400919
1	Bol032410	11.352407035401828	9.869179493627017	11.457117946736169	16.607128307112575	7.972441437221348	11.608553132833139	7.798303954988161	4.037720772928212
1	Bol032411	7.028263115317184	2.341162377206032	5.425287325295315	6.950704485040204	8.880335386297697	11.339169228360648	2.117490852400548	0.0
1	Bol032412	30.97268422118613	8.49622945812706	8.001350394879353	4.768200037996518	10.291248013065081	14.826625223486054	11.40360848167842	2.9922807827448277
2	Bol032413	72.28144799572205	23.18460347724628	20.164225364613685	11.082278769861137	21.610037860120283	20.876763891798607	8.795281856523417	4.348901683694861
2	Bol032414	6.152231823425951	15.399960464022431	13.249398511560438	7.104999405848954	10.977292883763463	9.717478146491505	4.846588431968822	2.959122293978402
1	Bol032415	19.9356922522274	120.08515122933926	141.98316347054126	132.6596066753906	311.2128917289011	271.1599172676493	12.685392681574902	0.8551695280545256
1	Bol032418	50.0328471349116	173.2558929944821	183.91264358057694	125.23665675471311	217.71351707177536	183.6620821036902	44.72516227542124	34.14969124589129
2	Bol032420	25.252294334777332	8.929218045536127	12.312358675023805	6.242037678087982	8.532138033216176	6.991823960722694	4.311289250941299	2.6381833282781924
1	Bol032421	361.0451905713628	347.59890326089675	455.6304811919089	343.6113748098697	895.9822220353731	513.4072095346074	125.22689760030043	55.925327495968624
