Phylostratum	GeneID	unfertilized	Zygote	Quadrant	Globular	Heart	Torpedo	Bent	Mature
1	BnaC02g21260D	17.888272441759153	5.634883657982833	2.8021343614766225	2.084051662637949	2.2228200979633956	0.0	0.0	0.3067451998760535
19	BnaC02g21290D	42.30592002507451	9.8840370776065	10.78006920112668	4.812978950295232	5.9861266949880045	7.259702226172918	8.535882536478288	7.030040310189835
1	BnaC02g21340D	25.69654614453857	4.333322197184859	2.735133871520003	0.8610901496870116	0.5206929660750181	1.3175544606937506	0.5690567815710484	0.0
1	BnaC02g21360D	1.6871961108893063	6.9754651314718785	7.868188628173069	6.224615196706941	5.535199990454184	12.25060174797181	7.7656940161816825	5.7807868849664406
1	BnaC02g21380D	11.473169259539404	117.35716987998647	117.22710725105357	119.51886927477187	219.1815513988346	240.09727863566062	81.55443373117737	32.948982586720334
6	BnaC02g21400D	0.0	0.0	0.0	0.0	0.0	0.0	3.8804775493552337	24.729343029745042
2	BnaC02g21410D	16.727659186341644	2.6561983758431897	2.830311376373808	2.236028273918065	7.4155916565976705	7.844628373106019	9.673690004027936	10.692920008225064
17	BnaC02g21470D	4.241445531513991	10.251103866550174	6.685673195481962	4.230721992592989	4.211727705746301	3.665897150803879	2.735509724379901	4.950396916871414
16	BnaC02g21520D	0.0	0.0	0.0	30.695934176610418	0.0	0.0	0.0	0.0
16	BnaC02g21530D	6.253323976265823	44.41419810388791	164.99653716366294	2066.021853317141	0.0	0.0	0.0	0.0
2	BnaC02g21570D	18.668911621613073	22.20747631832127	29.784599773507118	29.246362503246445	15.919684724880707	30.0731448910203	4.009972270173448	3.615400644167669
1	BnaC02g21670D	4.357685674962571	13.07593244211364	8.124142185775677	9.341634746994231	9.23533646507045	16.98039072400868	3.605356059126476	1.7733584621959544
1	BnaC02g21680D	35.8454796983999	20.619873066202416	6.813486279015318	0.47933115342527033	0.0	0.0	0.0	0.0
2	BnaC02g21720D	29.199969877897136	11.442443231714106	1.8837649750128067	0.962254049757651	0.50741071501004	0.670778416450619	2.482404906072335	18.39040480625698
1	BnaC02g21740D	9.344610709259753	35.7481908043498	20.61843764768805	19.625912039087506	11.58697205740999	8.139436828636857	6.186214033286111	4.255465214023257
3	BnaC02g21770D	4.761961294827585	6.88721853739171	4.901746633873278	5.236500361748293	6.815699012427118	10.904848856874638	4.334423104438699	2.3542362469302014
1	BnaC02g21850D	31.94902008181471	11.222555171777952	6.941152385878731	2.403165816797501	0.8945190517166194	1.7543275495556694	2.032078129651023	0.9381167287267614
1	BnaC02g22020D	94.73318214450305	26.512126967831158	18.65005357209464	21.497632104210915	32.31207106878016	19.702139130662943	8.34458188083058	6.135925222861668
2	BnaC02g22120D	13.455729450178467	7.3209279569068295	6.373765505858056	5.135966000861961	4.115104879699909	11.416313985320743	7.756072144197734	2.287350794155107
1	BnaC02g22210D	6.119840577844328	8.297949364073997	6.431479072916199	6.636660522307435	9.059328565373374	26.316799135723176	11.681563428430286	3.941071783167365
1	BnaC02g22240D	68.95835579445756	39.515199744882985	29.391015101756853	20.636611469182625	60.37033469205879	79.13958306736272	24.033405483982083	7.01256910336433
1	BnaC02g22250D	7.7354252263026915	21.893381529996685	6.463765506027891	3.35799357077839	1.19956540551318	0.0	0.35051177587065463	0.5704066668614595
15	BnaC02g22400D	6.204873971266136	5.554009968260139	4.18517504185727	3.341581202610076	3.672317454311378	15.951670531786945	3.6710092801190246	4.263226567225814
18	BnaC02g22420D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.451607435307869
1	BnaC02g22500D	12.565385435158767	19.101119975488352	16.147903744046783	22.05925478095305	52.17902859260607	43.20883708823462	22.556914730640795	17.12479237782462
1	BnaC02g22590D	0.19727056732822562	1.468552611077996	0.8422609709330001	0.6541025379067107	0.42768999615375614	5.016617359485473	15.996890156623566	12.444870706600367
1	BnaC02g22610D	39.86494930331531	99.8979503930886	92.69736487788636	76.800377886957	113.006323075304	83.08659998654414	67.71000467992008	90.13940324927822
1	BnaC02g22640D	9.180578028500822	15.593144372604902	8.587163458907721	2.0260349605024093	3.6570570216741216	1.3690262564896263	0.0	0.0
1	BnaC02g22700D	26.788779597790572	5.88330937745798	4.173806007894234	3.605120302331116	1.1994610135006474	2.4009073992919845	0.9565147253283662	2.807640842467212
1	BnaC02g22820D	15.2908013669657	61.27435134769772	58.534817902333124	45.59678329500447	57.33176157083436	62.28599538920047	27.147769082950443	19.507200494681452
1	BnaC02g22900D	0.27326999762140014	3.8250392851334225	1.729285122429497	1.0267879902686825	5.011761785623894	16.226147550532446	4.749408825023174	1.6469269619051112
1	BnaC02g22980D	24.9442311500475	31.503683673945183	36.72337937025814	29.350927309492278	42.2401925427122	66.84865961296458	37.69680952982626	13.710747818080531
1	BnaC02g23010D	38.15551624808005	133.18957135951007	63.7091708149149	4.786177870428345	0.0	0.0	0.08900008463479123	0.0
4	BnaC02g23030D	0.06673470399275026	10.67254091108392	2.1299933377163414	1.4201151096446372	0.7690895148082569	0.02615431949028688	0.0	0.0
1	BnaC02g23070D	12.180355875162268	18.86584398592864	20.244859937515006	17.54231524648899	34.58851872387136	90.93725932724168	21.009623496536534	10.769429388226657
1	BnaC02g23080D	11.083395619538267	4.039245275197583	5.403883761125326	6.242883772756627	6.020821753782037	8.631018409903898	3.2291819787100877	1.7736725656428245
16	BnaC02g23090D	2.3091928202257166	19.38376483922563	11.654330943747906	73.02367467379871	0.0	0.0	0.0	0.0
2	BnaC02g23110D	34.34956502168696	9.873762849643494	9.865122714642226	8.948275662827168	8.579587101090588	13.736785722893108	8.614172291496727	4.698980265073263
1	BnaC02g23130D	22.885164074692582	4.630867137084912	3.600833836120462	3.573487045560961	2.1592747849724914	5.328095331469774	4.3602387261910325	3.10992308099493
1	BnaC02g23140D	4.342029029365188	4.985998085213631	3.177147050822325	2.9699745888912923	2.924530517004054	11.248034872430827	6.02476136153126	1.5750640928165431
1	BnaC02g23150D	18.264613187801164	0.21990080498488404	0.48612285790322596	2.367796307233796	2.070995390270099	5.492258111655897	0.35714474006066504	0.0
2	BnaC02g23210D	7.873162114267177	14.867122517279528	14.897235416344877	8.388138527229508	2.152190400428828	4.9284330327217605	7.147110106669409	7.851584945957979
1	BnaC02g23220D	18.01602910139745	28.25799373750549	7.034964460368652	5.012393032628627	5.989543146289206	19.131107469812093	4.024973285631844	3.0605162972465934
