Phylostratum	GeneID	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B32	B33	B34
0.8730048577376821	B4U62_13055	5231	5668	4165	3422	9554	11925	10208	6265	10100	10426	12645	11554	8034	6236	5961	2729	2149	3017	6932	2480	2852	1747	329	321	600	2012	3078	99	3727	2676	4059
0.7404580152671757	B4U62_13060	645	773	527	368	388	422	809	566	785	2462	2672	2690	4635	4122	3270	4592	3591	5200	5015	5742	5669	5126	680	915	439	799	789	44	769	556	1045
0.7404580152671757	B4U62_13065	133	162	121	95	78	84	163	110	145	1966	2674	2294	4101	4181	3224	5082	4267	5936	5826	7129	6818	6082	681	621	207	438	518	28	740	556	979
0.7404580152671757	B4U62_13070	18	25	12	17	25	23	17	12	14	842	1361	987	1688	1802	1278	2650	2204	2911	2737	3638	3355	2618	476	414	86	164	222	3	121	95	226
0.7404580152671757	B4U62_13075	5	4	4	8	3	2	1	1	1	687	1085	817	1396	1398	1102	2141	1887	2407	2277	3402	3508	2446	424	369	62	160	200	9	60	67	150
0.7404580152671757	B4U62_13080	3	2	1	3	1	3	0	1	0	626	988	713	1058	1187	916	1909	1492	2211	1749	3129	3206	1980	394	299	121	124	200	13	70	40	144
0.7404580152671757	B4U62_13090	977	1164	795	345	326	264	525	318	545	1127	911	822	588	910	618	521	485	849	763	384	435	603	50	59	84	202	269	10	1199	977	1526
0.7404580152671757	B4U62_13095	91	120	92	36	23	30	47	36	51	90	64	55	65	84	55	116	86	128	137	86	80	105	10	10	13	39	36	3	209	162	220
0.9935230164237798	B4U62_13100	38	44	39	23	17	15	31	14	21	58	53	43	72	57	44	90	84	128	121	113	112	79	7	7	8	55	18	0	169	183	143
0.7404580152671757	B4U62_13105	4014	4006	3373	7406	4970	5358	2973	2148	3177	4075	3708	3807	4257	4289	3477	2910	2789	4123	4440	3226	3049	3565	298	342	393	1021	895	61	2930	2709	2991
0.7404580152671757	B4U62_13110	5324	6773	4893	4592	4192	3968	5986	3862	6268	12509	12107	11106	14087	11902	9573	10873	8769	12516	25869	12896	12086	9473	1156	1295	1829	6069	5082	313	3312	2609	3721
0.7404580152671757	B4U62_13115	49	47	53	19	23	22	55	42	49	1719	1575	1613	4611	4872	3193	5351	4852	7226	2399	3652	3751	2831	223	187	810	771	880	303	51	59	297
0.7404580152671757	B4U62_13120	4213	4432	3536	1714	1787	1549	2738	1883	2910	4780	4414	3968	4071	3986	2961	4038	3292	5660	4872	3454	3824	6236	561	636	1100	2819	2464	205	5239	3687	6305
0.7404580152671757	B4U62_13125	871	795	724	342	363	325	551	394	603	940	933	794	687	701	588	788	691	1135	833	533	598	1133	77	67	170	410	368	28	305	227	345
0.7404580152671757	B4U62_13130	8393	9023	6955	4154	4373	3681	6309	3814	7067	11218	9450	9024	5746	6209	4824	6366	5089	9629	6435	3169	3589	9447	743	940	1943	4825	5133	351	4984	3822	6455
0.7404580152671757	B4U62_13135	14767	14727	12392	6651	5583	5318	10076	6380	10395	18531	16128	14575	10500	12840	10142	13898	12481	22145	10956	6149	7052	22457	2095	2568	5093	11508	11454	885	6621	5368	8126
0.7404580152671757	B4U62_13140	1610	1519	1320	696	732	720	1303	885	1358	1509	1342	1333	1071	1076	846	1224	924	1462	921	679	838	1605	160	195	269	630	734	60	378	304	532
0.7404580152671757	B4U62_13145	138	149	92	50	61	37	130	97	114	138	119	94	98	75	96	98	67	108	68	54	44	126	1	6	15	31	69	3	21	12	28
0.7404580152671757	B4U62_13150	2409	2434	2096	1081	1367	1112	2453	1496	2158	2493	2204	2175	1750	1774	1417	1766	1320	2226	1474	955	1165	2187	202	258	564	912	1380	87	293	257	387
0.7404580152671757	B4U62_13155	13473	14827	11911	5794	6544	6106	12580	7811	12304	14617	12171	11965	11103	11829	9535	9044	7725	11712	7534	5043	5977	13288	1182	1044	3642	5912	11323	407	3687	2819	4290
