Phylostratum	GeneID	MYC	INI	PRI	YFB	MFB
14	CC1G_00004T0	31.284155566498683	29.834374083121087	35.270866349470545	28.137098087820476	39.866127102029914
6	CC1G_00007T0	20.590072607283798	20.36896735535958	20.841545535950264	17.44964036661942	21.810780106755118
1	CC1G_00011T0	8244.819667954105	8299.779289829426	8665.968029697702	8512.678730485177	5473.829447362098
2	CC1G_00012T0	6242.045952370053	7995.995066489395	7872.114203396515	8172.799187315835	9099.878611835014
4	CC1G_00013T0	8885.792924286843	9686.418819726796	10485.377420768738	10678.012501872678	9898.152606944672
1	CC1G_00014T0	7881.697644314295	7397.6612689113435	7276.448038723659	7668.51963802006	9655.661804948339
1	CC1G_00015T0	11157.848308548606	14344.615094951347	13514.086676733996	14437.172667194005	6231.213191089884
1	CC1G_00016T0	5909.394872655578	7698.660414445209	7418.490083435167	6816.347027190374	10017.676455801538
1	CC1G_00017T0	7120.872522756156	7728.24389224003	8227.216730567085	7860.157223199581	7185.058044134241
7	CC1G_00018T0	5230.699664157136	3515.242015836506	3347.8601273349295	3884.9562270290157	966.6290177936794
1	CC1G_00019T0	2565.912740045219	3635.8891743838376	2261.395035495483	3072.2021083155014	6481.22975850533
1	CC1G_00020T0	4663.192164193519	5359.572158753238	5784.468147288492	6248.07230978167	6372.698776332255
1	CC1G_00021T0	2010.0986794738233	972.8399329939383	1453.1721062917381	1391.5770919912852	3842.560989813704
1	CC1G_00022T0	5627.809647601066	5840.881823002239	5776.88296299578	6465.462330800426	9182.000489508113
12	CC1G_00023T0	1939.0722210991353	2908.051398425298	2312.938636736087	1978.3537971593137	4717.398777187742
1	CC1G_00024T0	8367.237369233759	9512.944293389792	9467.924887053849	9473.92729761268	13289.665204444065
6	CC1G_00025T0	5483.291004061988	7602.751372481534	6143.333132865935	4878.281791678892	4879.8390008261795
8	CC1G_00028T0	288.24067025860927	229.76689718671392	220.68139014782275	215.29029703999484	410.0092018179801
14	CC1G_00030T0	308.86796723846226	796.045532627905	686.5164013805548	610.616525014668	892.8146414868966
1	CC1G_00031T0	4171.212523229643	4972.28765969009	4932.600188404873	4690.216468079569	4217.192887023086
1	CC1G_00032T0	4720.722796669514	5917.391658880035	5583.894379555916	4981.470995260575	4568.940171920747
1	CC1G_00033T0	9478.650068741603	9349.005792373522	10311.52988583764	11536.70463934947	7209.032494481591
1	CC1G_00034T0	8354.017858836572	8717.395094334503	8925.031479055737	8406.410711987799	8112.850811882351
