Phylostratum	GeneID	Cleavage	Embryonic pharynx	Embryonic gut cavity	Gastrodermal cells	Muscle and neuron diff.	Organogenesis	Brain condensation	Organ maturation
1	FW_v1_tr_04522	4	8.0	12.8	11.0	11.625	13.8	18.1428571428571	15.1818181818182
1	FW_v1_tr_04523	117	95.0	104.4	48.8333333333333	74.375	56.4	389.0	278.272727272727
1	FW_v1_tr_04524	6	7.66666666666667	10.8	9.0	11.25	12.5	20.0	14.7272727272727
1	FW_v1_tr_04525	20	5.33333333333333	15.8	96.0	187.5	164.2	326.642857142857	309.545454545455
2	FW_v1_tr_04526	1	1.33333333333333	4.2	0.166666666666667	0.75	0.5	2.07142857142857	1.81818181818182
2	FW_v1_tr_04528	2	9.0	11.0	49.5	38.75	47.1	42.8571428571429	15.9090909090909
14	FW_v1_tr_04529	1	3.66666666666667	3.6	8.0	10.375	11.7	16.0	6.45454545454545
1	FW_v1_tr_04530	10	2.33333333333333	8.0	19.6666666666667	29.0	14.8	45.5	38.0
1	FW_v1_tr_04531	1	9.66666666666667	6.8	12.1666666666667	16.75	29.1	48.5	45.6363636363636
1	FW_v1_tr_04533	30	60.0	100.4	321.166666666667	263.125	218.2	153.928571428571	123.090909090909
1	FW_v1_tr_04534	15	8.33333333333333	49.0	16.8333333333333	47.75	49.5	120.857142857143	134.909090909091
4	FW_v1_tr_04535	1	9.33333333333333	9.2	5.0	6.375	2.7	11.8571428571429	6.54545454545455
5	FW_v1_tr_04536	111	367.333333333333	307.0	210.833333333333	291.375	201.7	376.857142857143	315.0
2	FW_v1_tr_04537	6	30.3333333333333	26.0	21.3333333333333	10.875	5.8	7.35714285714286	4.54545454545455
1	FW_v1_tr_04538	0	0.0	0.4	0.0	0.875	0.0	5.57142857142857	7.0
14	FW_v1_tr_04539	1	9.66666666666667	45.4	86.5	96.375	75.0	57.5714285714286	44.7272727272727
1	FW_v1_tr_04540	13	108.666666666667	163.0	464.166666666667	373.5	223.9	231.857142857143	165.272727272727
1	FW_v1_tr_04541	0	0.0	1.6	11.5	16.5	20.5	29.9285714285714	19.0909090909091
1	FW_v1_tr_04542	1	0.0	1.8	10.8333333333333	17.75	23.2	35.2857142857143	23.7272727272727
1	FW_v1_tr_04543	5	11.6666666666667	22.8	22.3333333333333	28.125	17.3	36.0	28.7272727272727
1	FW_v1_tr_04544	0	0.0	5.4	4.83333333333333	4.875	6.9	16.0714285714286	21.4545454545455
1	FW_v1_tr_04546	0	0.0	0.0	2.16666666666667	3.625	2.7	12.1428571428571	9.09090909090909
1	FW_v1_tr_04547	6	4.0	9.8	7.66666666666667	10.5	5.2	11.5714285714286	5.27272727272727
1	FW_v1_tr_04548	1	4.66666666666667	2.8	10.8333333333333	11.375	7.1	16.7857142857143	14.9090909090909
